2402538	2402536
2402539	2402536
2402540	2402536
2402541	2402536
2402542	2402536
2402543	2402536
2402544	2402536
2402545	2402536
2402546	2402536
2402547	2402536
2402548	2402536
2402549	2402536
2402550	2402536
2402552	2402536
2402553	2402536
2402554	2402536
2402555	2402536
2402556	2402536
2402557	2402536
2402558	2402536
2402559	2402536
2402560	2402536
2402561	2402536
2402562	2402536
2402563	2402536
2402565	2402536
2402566	2402536
2402567	2402536
2402568	2402536
2402569	2402536
2402571	2402536
2402572	2402536
2402573	2402536
2402574	2402536
2402575	2402536
2402576	2402536
2402577	2402536
2402579	2402536
2402580	2402536
2402581	2402536
2402582	2402536
2402583	2402536
2402584	2402536
2402585	2402536
2402586	2402536
2402587	2402536
805252	800166
805253	800166
805254	800166
805255	800166
805256	800166
805257	800166
805258	800166
805259	800166
805260	800166
805261	800166
805262	800166
805263	800166
805264	800166
805265	800166
805266	800166
805267	800166
805268	800166
805269	800166
805270	800166
805271	800166
805272	800166
805273	800166
805274	800166
805275	800166
805276	800166
805277	800166
805278	800166
805279	800166
805280	800166
805281	800166
805282	800166
805283	800166
805284	800166
805285	800166
805286	800166
805287	800166
805288	800166
805289	800166
805290	800166
805291	800166
805292	800166
805293	800166
805294	800166
805295	800166
805296	800166
805297	800166
805298	800166
805299	800166
805300	800166
805301	800166
805302	800166
805303	800166
805304	800166
805305	800166
805191	800164
805192	800164
805193	800164
805194	800164
805195	800164
805196	800164
805197	800164
805198	800164
805199	800164
805200	800164
805201	800164
805202	800164
805203	800164
805204	800164
805205	800164
805206	800164
805207	800164
805208	800164
805209	800164
805210	800164
805211	800164
805212	800164
805213	800164
805214	800164
805215	800164
805216	800164
805217	800164
805218	800164
805219	800164
805220	800164
805221	800164
805222	800164
805223	800164
805224	800164
805225	800164
805226	800164
805227	800164
805228	800164
805229	800164
805230	800164
805231	800164
805232	800164
805233	800164
805234	800164
805235	800164
805236	800165
805237	800165
805238	800165
805239	800165
805240	800165
805241	800165
805242	800165
805243	800165
805244	800165
805245	800165
805246	800165
805247	800165
805248	800165
805249	800165
805250	800165
805251	800165
805306	800166
805307	800166
805308	800166
805309	800166
805310	800166
805311	800166
805312	800166
805313	800166
805314	800166
805315	800166
805316	800166
